simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd,redshift,mass1_detector,mass2_detector
17918,62357.9327,1565043803.06,2.4265036,0.17116261,139.028415,9.806895,1.2137799,469.63619,6.2537045,1.2696403,0.67221296,-0.28171089,11.976228,0.15655,0.118348,0.030852,0.027525,42.057309,0.34948,559.759379,171.281986,0.0987798,6.8714442,1.3950551
17924,63076.0791,1627091655.18,6.0340801,0.37863561,345.727323,21.694222,2.5358329,227.31162,9.7369289,1.1347083,0.89421046,-0.017631529,12.013797,0.13948,0.258006,0.10059,0.047982,64.676046,0.82207,234.036157,41.012263,0.0494602,10.2185194,1.1908312
17925,63155.9215,1633990036.32,2.0375351,0.45475782,116.742162,26.055704,2.0880006,974.88429,20.073826,1.3674796,0.96306479,-0.37577215,11.938644,0.16915,0.113132,0.023885,0.027199,58.265848,0.494452,1267.032538,456.252762,0.1933514,23.9551284,1.6318837
17930,62709.3396,1595405356.79,5.8837574,-1.1711659,337.114467,-67.102863,0.41200367,911.39985,7.586246,1.3146762,0.75632095,-0.4981916,11.960259,0.16232,0.119183,0.030473,0.027291,21.091896,0.91632,696.408931,222.757777,0.1819696,8.9667122,1.5539073
17931,64228.9632,1726700842.4,5.9791367,0.47101677,342.579298,26.987273,1.9425555,199.64445,6.8349762,1.245672,0.63063812,0.3421312,11.984067,0.1535,0.083709,0.025661,0.017944,50.433658,0.363255,358.940239,76.108181,0.0436221,7.1331322,1.3000108
17953,63436.0944,1658196976.66,5.4686958,-0.90289578,313.333189,-51.732118,2.2797153,480.32835,9.2535791,1.2591853,0.71634734,-0.16533427,11.979654,0.15522,0.060344,0.017139,0.013179,52.876165,0.651014,642.32093,148.839095,0.1008877,10.1871514,1.3862216
17969,62298.0068,1559866204.35,0.55231575,0.26634532,31.645361,15.260463,2.7517165,891.9745,4.4084086,1.3591788,0.38455272,0.14893228,11.942316,0.16807,0.039491,0.002066,0.014262,69.564448,0.924956,714.663845,233.44068,0.1784613,5.1951389,1.6017396
17970,61743.5447,1511960676.89,1.2466986,-0.58789118,71.430568,-33.683683,2.6368024,238.20296,6.5547585,1.1414496,0.87774748,0.18661322,12.012035,0.14033,0.312726,0.087409,0.069344,25.090176,0.875276,398.861817,203.659875,0.0517459,6.8939404,1.2005149
17982,62769.1297,1600571224.29,0.208354,-0.61751652,11.937805,-35.38109,2.3094773,264.91325,10.379898,1.1188086,0.64558893,-0.25034466,12.016882,0.13749,0.031834,0.008587,0.007085,41.075957,0.673313,300.208325,73.417321,0.0573218,10.9748924,1.1829407
17999,63444.8072,1658949761.78,3.6169382,1.1554651,207.235294,66.203274,2.6256737,532.9832,6.8709288,1.5084468,0.76562399,-0.46799448,11.861416,0.1878,0.090837,0.00535,0.027462,22.357018,0.86984,493.956386,173.98649,0.1111924,7.6349239,1.6761746
18000,62072.6614,1540396363.62,1.5293225,0.29823088,87.623725,17.087371,0.73116819,825.89443,18.365026,1.366775,0.95232886,0.0026358925,11.938915,0.16906,0.111292,0.024961,0.026311,64.372434,0.744395,1349.684321,472.313129,0.1664336,21.4215834,1.5942523
18011,61675.2822,1506062796.61,1.5367425,0.36317254,88.048859,20.808254,0.59314659,271.35338,2.488348,1.3403127,0.76327527,-0.43668932,11.950684,0.16562,0.278884,0.013099,0.122955,53.03488,0.829186,323.130431,111.67957,0.05866,2.6343145,1.4189354
18017,63576.3688,1670316678.71,3.2569786,0.23294217,186.611128,13.346603,2.2934973,242.50238,7.1781545,1.3973868,0.94384485,-0.4172397,11.926069,0.17303,0.337292,0.05899,0.086837,64.25379,0.661413,324.790855,82.898251,0.0526462,7.5560571,1.4709539
18023,63044.2459,1624341259.55,2.9749428,0.29152906,170.451667,16.703385,0.12813675,520.99778,10.288454,1.1989812,0.89421046,-0.017631529,11.997751,0.14758,0.225627,0.083295,0.043384,39.218424,0.991802,421.120029,151.032694,0.1088577,11.4084314,1.3294995
18042,61759.2044,1513313681.38,1.2405621,0.1825468,71.078973,10.459161,0.93523789,200.37523,10.733329,1.7057424,0.97550076,-0.34069803,11.681086,0.21564,0.236656,0.021662,0.065808,52.028786,0.593627,232.983966,54.207883,0.0437769,11.2032009,1.7804145
18076,61178.4443,1463136005.77,4.6689395,0.0085742504,267.510528,0.491268,1.4250237,495.97623,6.3410678,1.3266662,0.88309503,0.097435243,11.955799,0.16386,0.279499,0.05354,0.071592,54.997954,0.145257,845.727621,279.568093,0.1039631,7.0003049,1.4645905
18088,63629.827,1674935475.02,2.8371775,0.34797384,162.558296,19.937432,1.2966098,465.10574,19.483395,1.2029229,0.93186206,0.34763265,11.996822,0.14807,0.093318,0.02719,0.020154,39.103071,0.270764,680.318577,235.477403,0.097885,21.3905271,1.320671
18092,64299.7698,1732818528.53,1.5028794,1.3343313,86.108647,76.451552,0.4813209,409.25947,11.670731,1.3276782,0.96722817,-0.040949211,11.955421,0.16399,0.319762,0.094417,0.068685,28.042861,0.886384,418.413832,110.931254,0.0867749,12.6834575,1.4428873
18128,61282.1496,1472096142.8,2.7500388,-0.0037399213,157.565617,-0.214282,0.53671527,722.64696,6.0874729,1.4177395,0.69837338,0.051066875,11.914971,0.17571,0.0971,0.012694,0.027698,37.92204,0.859393,860.002581,318.083154,0.1473372,6.9843841,1.6266253
18139,63699.8789,1680987950.72,3.2968944,-0.50972014,188.898135,-29.204813,0.63986036,309.81035,7.4847651,1.6278808,0.93318409,-0.21759877,11.765175,0.20433,0.232253,0.019071,0.068283,58.606321,0.802179,307.887395,76.754708,0.0666027,7.9832707,1.7363021
