simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
95	4.2562859	0.11639217	2.1364763	391.90487	10.122876	1.4600992	-0.62826639	-0.48930287
96	0.52379356	-0.11327117	0.41902678	988.74134	12.377057	1.7554302	0.26526809	0.4861756
97	0.20013947	0.74580119	2.0514567	484.66271	8.2604008	1.7797599	-0.54750299	-0.20095022
98	3.2318588	0.63095822	1.8382137	84.047213	12.066086	1.7644485	0.44521368	-0.10181859
99	3.4335711	-1.3309271	2.3905613	562.72111	16.534554	1.9622427	0.75560588	0.19963758
100	1.9298454	1.0247425	1.4092387	510.61508	5.2361898	1.550711	0.71230906	-0.33388025
101	4.5606457	0.3055302	2.8596039	498.01619	10.550295	1.228693	0.22159413	0.021687701
102	4.6660209	0.62972352	0.34122116	450.10466	11.613624	2.1274495	0.38846132	-0.41168702
103	6.2664993	-0.51056477	2.402571	809.2105	18.180767	2.2937303	0.46200651	0.25301877
104	2.829648	0.48633155	1.6073819	200.07298	14.761175	1.69143	0.6238873	-0.29131031
105	0.68633402	0.33271782	2.2234989	410.97826	6.6591864	1.6378186	0.22556776	-0.16270781
106	0.72851925	0.10762239	2.2103686	393.30411	16.618883	1.9876971	-0.9558115	-0.14447005
107	1.0062873	-0.14710691	1.0907466	639.05864	15.813103	2.1090281	0.11775073	0.4635253
108	3.906424	-0.13885237	0.82230674	409.54525	19.467924	1.2512344	-0.0031831029	-0.30268636
109	4.8074772	1.3200145	0.40723731	472.48777	2.319777	2.0243082	-0.45959485	0.42040917
110	5.9646463	-0.77359785	0.86387634	528.59264	18.714193	1.8375386	-0.34048837	0.19094174
111	4.9242902	-0.23443528	2.7644389	776.48332	13.074806	2.0649781	-0.0097608976	-0.12301394
112	5.7673255	0.46592223	2.0679897	824.09906	7.114913	2.2636218	0.62298304	0.26092172
113	1.5617802	-0.75945909	0.87628686	470.97102	15.328297	1.3129632	-0.63138342	-0.18275753
114	3.352007	-0.31341134	2.3426958	526.96477	17.390877	1.2717348	0.96510029	0.14297999
115	2.1830368	-1.2473905	0.81384344	533.58488	16.489397	1.305437	0.51102829	0.39310157
116	5.2994016	-0.18208684	1.9635957	916.98219	12.039536	2.3636787	0.89808255	0.092175744
117	0.52686915	-0.96126436	2.5589239	544.85157	14.43913	1.451393	0.45053461	-0.26041663
118	1.0115991	-0.33887198	1.8742584	580.81422	8.8263702	1.6661181	-0.82956117	-0.22036687
119	2.9569689	-0.69819477	1.9032105	688.54853	17.83033	1.5165011	0.65631956	0.40771759
120	1.6590625	-0.51032373	2.6008704	557.07053	19.06378	1.8404337	-0.69222081	-0.30184567
121	4.7720047	0.49945029	2.6393598	679.20644	12.303733	1.6673946	0.48130959	0.38590887
122	3.4228312	0.31605949	1.9769892	658.63426	16.892603	2.1225224	0.82555145	0.11223284
123	4.878472	0.86615882	2.821911	524.43709	20.235485	1.1111737	-0.55327427	0.16998994
124	0.22624156	-0.37037932	2.6563671	348.5041	12.399444	1.0836354	-0.39593697	0.06163048
125	1.9562284	-0.43960948	0.86570044	458.40282	12.113923	1.8266343	-0.29975694	0.22317401
126	5.6540113	-0.71769	2.7092656	642.21309	19.720976	1.4561965	0.72916037	-0.39905697
127	2.0628663	-0.79589831	2.0168618	517.86364	14.742233	1.7414192	0.90775204	0.23143794
128	2.0956916	-0.75218248	2.3230956	397.54757	8.7743864	2.0053725	-0.87266266	-0.25229329
129	0.052765425	0.25480413	0.48269322	571.48677	20.230314	1.6167572	0.50022459	0.455946
130	5.729091	0.15446065	0.98629662	128.96963	16.687267	1.9054924	0.43186679	-0.10531114
131	0.55753234	0.25265344	1.7623776	190.38	8.9840069	1.8514727	0.4831042	-0.31163716
132	2.3891218	-0.14166806	2.3294611	471.03104	6.5951958	1.5952144	0.60739148	0.09715014
133	5.5035165	1.0548273	0.7051484	954.03689	22.476717	1.2078854	0.60131741	0.33947223
134	0.86611071	-0.35270464	0.45857944	688.54551	19.723059	1.8202549	0.65157861	0.37389621
135	0.40437185	0.89718585	0.40707319	719.83376	11.007668	2.0439916	-0.22623104	-0.46780255
136	5.3081876	0.61475682	0.21174054	242.23508	10.524346	1.7956519	-0.43297723	0.35859039
137	4.9244833	-0.43293425	0.55670275	727.1234	13.765974	1.1632371	0.9337213	0.49854156
138	1.8876926	-0.80633407	2.5381135	799.23581	6.4682035	2.221648	-0.38929424	0.15171303
139	6.1088672	0.71075213	2.8299535	921.48317	6.4506016	1.4734848	-0.23758487	0.46140349
140	2.6769042	-0.25006238	2.5632494	503.1869	13.938253	1.5035642	0.30707067	-0.29090306
141	2.8111111	1.132753	2.3370204	827.8717	21.125443	1.4903938	-0.61259031	0.439989
142	3.3908995	0.45202465	0.39235466	226.30088	16.842932	1.1873218	-0.4050459	-0.027161922
143	2.1000159	1.0599546	2.3720867	462.88231	18.388872	1.851835	-0.38705739	-0.23016608
144	3.7842115	0.42462297	2.424555	511.09551	5.9861593	1.5095991	-0.33443511	0.29388109
145	2.3778427	1.3305408	0.35464914	774.91547	11.946509	1.7291648	0.47924158	-0.136595
146	2.5271559	-0.13265557	2.9294833	704.95693	7.4338408	1.5468864	-0.057751622	0.26369339
147	0.85280932	-0.46812288	0.95122795	327.14776	18.498781	2.0584626	-0.98105645	0.4165428
148	2.5906776	-0.85042192	2.4210799	127.35289	5.8574843	1.9961759	0.62560344	0.32042676
149	0.49568826	-0.96244658	0.70373678	795.36982	12.896134	2.0717201	0.009156961	0.35010746
150	3.6632965	-0.67706612	0.079914416	733.74438	5.6562271	1.3017744	0.39612439	-0.39591342
151	0.69067934	0.80497321	2.7981124	807.60051	5.0696869	1.4721758	0.31345105	-0.22439234
152	2.9332895	0.14706075	0.87173459	152.21052	11.75738	1.941046	-0.56222403	0.1906464
153	2.6625279	0.26899017	2.6392815	827.532	19.311216	1.3824347	0.15889478	-0.21597159
154	3.6487528	-0.56305607	0.76693937	271.07893	5.9291773	1.6422458	-0.30704454	-0.21245044
155	0.30294562	1.0425184	2.304465	784.938	11.451842	1.3155422	0.63280344	0.35860291
156	0.78632763	0.085209902	2.5815854	777.39018	15.944533	1.500289	0.55026662	0.19361557
157	5.0723115	0.56061796	2.4692937	670.49971	18.310028	1.4389365	0.29660967	0.24834254
158	1.2666315	0.73535791	2.1579068	916.71469	12.73871	2.0065634	0.032984499	-0.38783193
159	0.44781441	0.44380846	1.1212816	700.01522	11.29191	1.2381289	0.37243727	0.21516615
160	0.90401707	-1.14646	0.3862336	858.71537	12.349402	2.1991787	-0.066941343	-0.33695334
161	0.61848834	-1.0144958	1.0947534	728.24714	18.442585	1.2911699	0.45222664	-0.025859591
162	1.0523029	-0.17210051	0.80825552	371.15466	11.118962	1.6879649	-0.21635531	-0.31543481
163	1.4041364	-1.4872849	0.878347	720.98107	16.647036	1.9935517	0.46364668	0.11963196
164	3.1789864	0.24895674	0.30074557	905.48975	14.921375	2.2031856	0.51842278	-0.30941844
165	0.49898953	0.42985365	0.71681464	646.03873	8.4048681	1.368024	-0.25324491	0.25404957
166	2.9332781	-0.13298537	1.9282637	334.90644	11.803641	1.6185502	-0.87467045	0.23713647
167	0.59281178	-0.89170568	1.7594906	593.77254	4.1189089	2.1612902	-0.57436824	0.035632629
168	2.7526399	1.1910042	2.8193861	466.11206	3.8688986	1.9675204	-0.48992813	0.41754487
169	1.9380961	0.54255941	0.37596228	932.04486	19.62023	2.2052131	-0.61203414	-0.17831057
170	0.37646974	-0.21794383	2.6210643	372.71389	5.783515	1.6392974	0.020283954	-0.16629682
171	5.6742374	0.27132518	1.8090841	782.3973	8.3814783	2.218287	-0.021974221	-0.25237647
172	5.7644401	-1.0993644	2.6980039	539.98051	9.5703526	2.0087256	0.32832405	0.2413398
173	2.9904642	0.66558554	1.0194193	143.9209	4.2976174	1.0488237	-0.18095793	-0.18056588
174	0.73117419	-0.41753654	0.86479124	628.4705	7.8124547	1.8250513	-0.43254903	-0.1305849
175	1.640307	1.4358372	0.15572443	849.69188	14.323865	1.4557489	0.68087405	-0.13020146
176	0.73189217	-0.74911196	2.2097334	418.94942	11.823446	1.4806429	0.40604863	-0.022445448
177	5.0491936	-0.39609285	2.5698616	427.49058	7.4438801	2.1173346	-0.25885183	-0.40798628
178	0.1032936	-0.59167577	2.1049832	399.2598	9.3241386	1.2166382	0.47212502	-0.38308951
