simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
14634,64348.2854,1737010279.3,5.3900917,-0.95622977,308.829506,-54.78793,0.95656841,226.70276,17.56797,1.9515166,0.87089002,0.13017064,0.0493323,17.56797,1.9515166,16.742047,1.8597699,11.199543,0.25732,0.0,0.0,0.0,17.262685,0.576328,258.324504,60.838353
14635,64081.4506,1713955753.23,2.4112362,-0.41269329,138.153658,-23.645584,0.25792372,536.62453,14.882045,1.8446437,-0.70113373,0.24388592,0.1119004,14.882045,1.8446437,13.384333,1.6590009,11.467991,0.23753,0.0,0.0,0.0,26.901203,0.966922,447.272888,90.77782
14636,63419.2522,1656741811.01,0.12954514,-0.27740326,7.42239,-15.894036,1.2122017,710.11268,15.304479,2.2127905,-0.32499415,-0.2700282,0.1449924,15.304479,2.2127905,13.3664458,1.9325809,-166890036879328.0,-0.0,2.623112,0.0,0.708227,16.603552,0.350959,996.905077,306.484638
14637,63548.7215,1667927951.99,2.6031472,-0.77268817,149.149348,-44.271771,0.4464952,456.75444,16.210005,1.3956643,0.18270431,-0.44920027,0.0962331,16.210005,1.3956643,14.7870057,1.2731456,11.926791,0.17281,0.0,0.0,0.0,62.115039,0.901966,397.983844,97.831419
14638,61941.7264,1529083580.5,0.40153533,0.47871791,23.00628,27.428516,0.80263515,121.52295,14.126557,1.1742418,-0.45174789,0.33257207,0.0268781,14.126557,1.1742418,13.756801,1.1435066,12.003904,0.14446,0.0,0.0,0.0,74.836357,0.694814,198.344021,50.92358
14639,63183.3235,1636357569.57,4.8541157,0.18252847,278.120343,10.458111,0.72031384,945.4914,20.355028,2.1250756,0.94530398,0.1785271,0.1880974,20.355028,2.1250756,17.1324566,1.7886375,-12689497303302.0,-0.0,2.82828,0.0,0.76234,21.454687,0.751599,1279.805156,460.541514
14640,61385.8235,1481053567.75,0.95711433,-0.77999994,54.838612,-44.690705,2.239554,573.435,9.0877867,1.8584297,-0.23032385,0.18302374,0.1190256,9.0877867,1.8584297,8.1211607,1.6607571,11.440367,0.23989,0.0,0.0,0.0,28.563308,0.620012,711.716492,185.054993
14641,62415.5724,1570023872.07,1.9302534,-0.59712126,110.595373,-34.212528,3.006309,659.87738,14.446435,1.5828218,0.17762148,0.2333678,0.1355348,14.446435,1.5828218,12.7221416,1.3938998,11.805637,0.19799,0.0,0.0,0.0,48.703843,0.990863,805.358922,280.259115
14642,63350.1913,1650774949.65,4.1743398,0.72534294,239.172053,41.559089,0.43916718,520.60769,16.17271,1.6484805,-0.53644615,-0.25043222,0.1087816,16.17271,1.6484805,14.5860189,1.4867495,11.744227,0.20728,0.0,0.0,0.0,18.577183,0.905106,490.40504,142.174189
14643,64054.4623,1711623958.22,6.0755608,0.40406081,348.103992,23.150979,2.1252891,439.5906,3.0974538,1.7971295,-0.73641312,0.074960567,0.0928276,3.0974538,1.7971295,2.834348,1.6444766,11.552903,0.22971,0.0,0.0,0.0,15.836136,0.526512,410.461624,145.768879
14644,63142.0652,1632792847.72,0.51132255,-0.57490843,29.296624,-32.939827,1.0745886,919.1509,5.79072,2.0640082,0.5027135,0.23370065,0.1833661,5.79072,2.0640082,4.8934307,1.744184,-1872996167.21875,-0.0,1.909117,0.0,0.694567,74.956534,0.476094,1236.818502,365.814835
14645,64299.0918,1732759947.31,5.1861404,0.81618965,297.143957,46.764222,0.58977135,550.83506,9.4321394,1.5816454,-0.051455237,0.42637125,0.114658,9.4321394,1.5816454,8.4619135,1.4189513,11.806719,0.19782,0.0,0.0,0.0,57.91544,0.831068,562.63794,116.948571
14646,62909.4003,1612690606.14,3.0382305,0.41860394,174.077785,23.984239,0.9413719,887.86548,19.519484,1.612658,0.073063336,0.22924598,0.1777176,19.519484,1.612658,16.573993,1.3693078,11.779417,0.20217,0.0,0.0,0.0,50.224453,0.58868,960.211761,330.587133
14647,62852.9966,1607817327.35,1.2257526,-1.038409,70.230451,-59.496453,2.2838652,283.12459,4.8335958,1.6864847,-0.97203332,0.35431075,0.0610999,4.8335958,1.6864847,4.5552691,1.589374,11.703329,0.2128,0.0,0.0,0.0,41.237932,0.654158,527.376918,277.353672
14648,63254.6299,1642518443.7,2.6963932,0.75052156,154.49195,43.001718,1.7704859,651.63402,14.487476,1.6764413,0.024755931,0.40962884,0.1339735,14.487476,1.6764413,12.7758504,1.4783778,11.714519,0.21133,0.0,0.0,0.0,70.678401,0.198365,1256.793205,433.232177
14649,61236.0842,1468116088.84,6.0128369,-0.37836012,344.510177,-21.678438,0.97891425,317.56125,8.4114876,1.7064227,-0.68253601,0.18695888,0.0681936,8.4114876,1.7064227,7.8744972,1.5974845,11.680131,0.21574,0.0,0.0,0.0,40.081289,0.557924,464.020925,107.429935
14650,61666.6574,1505317621.4,2.4849122,-0.77726309,142.374982,-44.533895,2.6081199,975.0774,7.1587367,1.8079339,0.17352667,0.10284173,0.1933858,7.1587367,1.8079339,5.9986774,1.5149618,11.534674,0.23146,0.0,0.0,0.0,51.768305,0.861046,904.736141,257.280747
14651,62980.2901,1618815482.21,5.3766627,-0.040382714,308.060081,-2.313759,0.5091168,684.43749,20.185019,1.2157831,-0.33887443,0.014011747,0.1401708,20.185019,1.2157831,17.7035043,1.0663166,11.991704,0.14972,0.0,0.0,0.0,35.23804,0.873175,670.499753,227.969577
