simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
21007,63381.5039,1653480353.51,4.366131,1.1876135,250.160879,68.045241,0.15637502,220.76896,6.0585151,1.5048679,0.79695523,-0.31191173,0.0480838,6.0585151,1.5048679,5.7805635,1.4358278,11.864249,0.18731,0.142998,0.012986,0.038826,17.361564,0.987798,191.816433,26.829542
21038,62091.762,1542046659.03,5.0242181,-0.53625329,287.866492,-30.72505,0.99087853,525.81379,4.6826777,1.1460042,0.64320093,0.42639303,0.1097966,4.6826777,1.1460042,4.2194017,1.0326254,12.010668,0.1409,0.189386,0.048358,0.04182,61.17358,0.547955,795.877936,233.161002
21092,64065.6783,1712593019.78,1.279595,-0.65830634,73.315393,-37.718175,2.856457,516.09358,8.4304981,1.2193831,0.67733902,-0.32252771,0.1079006,8.4304981,1.2193831,7.6094354,1.100625,11.992965,0.15015,0.069428,0.024433,0.012148,54.21245,0.959624,426.796762,82.967572
21136,61116.4646,1457780962.58,2.471122,-0.17884611,141.584861,-10.247127,1.8559395,55.135889,2.8419201,1.1392534,0.80468065,-0.35837829,0.0123276,2.8419201,1.1392534,2.8073126,1.1253802,12.01266,0.14005,0.336866,0.041784,0.112632,35.839039,0.281295,168.183063,34.45101
21137,62308.1793,1560745106.95,2.0775354,0.27096337,119.03401,15.525058,1.4596673,411.65836,8.2438869,1.569544,0.91547853,0.34682456,0.0872553,8.2438869,1.569544,7.5822919,1.4435837,11.816427,0.19615,0.197763,0.022759,0.04812,53.147246,0.1109,760.267013,207.596446
21155,64365.9004,1738532215.08,5.1618494,-0.3561091,295.752185,-20.403548,3.0429414,404.55959,6.7378392,1.3255656,0.66645437,0.10254747,0.085833,6.7378392,1.3255656,6.205226,1.2207822,11.956205,0.16372,0.084061,0.018722,0.018064,61.404686,0.995138,321.412751,72.18536
21186,62414.2084,1569906025.06,4.2238831,-0.20797374,242.010675,-11.916018,1.4839518,348.88346,4.0866666,1.5710363,0.84291792,-0.2130934,0.0745898,4.0866666,1.5710363,3.8030015,1.461987,11.815047,0.19636,0.229044,0.006091,0.083788,57.634616,0.086735,553.415737,212.748273
21242,61041.7064,1451321848.75,4.4405487,1.0167722,254.424699,58.256756,2.5045732,413.67375,16.545179,1.2111579,0.89802927,0.26565811,0.0876586,16.545179,1.2111579,15.2117389,1.113546,11.993155,0.14913,0.083381,0.024978,0.015742,69.01402,0.803872,427.226966,82.641564
21258,63133.6576,1632066433.4,4.0298553,-0.14685828,230.893701,-8.41436,0.34981861,271.50773,3.3174491,1.3663729,0.3856253,0.033485696,0.058692,3.3174491,1.3663729,3.1335355,1.2906236,11.939072,0.169,0.073331,0.003782,0.026791,16.661801,0.939435,225.076923,75.116417
21267,61592.5932,1498918471.88,1.0505293,-0.55158083,60.190895,-31.603254,0.1289467,505.33195,7.3913193,1.6426834,0.98899859,0.26346505,0.1057966,7.3913193,1.6426834,6.6841583,1.4855204,11.750743,0.20644,0.406942,0.037245,0.105455,59.698159,0.991698,417.518044,113.494304
21291,62716.3083,1596007454.15,5.4843508,-0.32882365,314.230154,-18.840207,2.2108075,264.36952,2.960144,1.4160185,0.93596435,-0.052004352,0.0572087,2.960144,1.4160185,2.7999619,1.3393936,11.915938,0.17549,0.407041,0.018807,0.155574,61.111171,0.597204,378.05489,146.380915
21294,61143.6852,1460132820.32,4.2214964,0.5262331,241.873927,30.150936,2.4014657,252.50395,6.9543939,1.2629,0.88300514,-0.32998601,0.0547364,6.9543939,1.2629,6.5934899,1.1973608,11.978462,0.15569,0.279621,0.06668,0.058193,65.848266,0.738383,407.661308,163.237423
21313,61195.3181,1464593905.66,1.5870339,-0.13330076,90.930344,-7.637571,0.75821173,540.3805,6.6696444,1.5159978,0.79859352,-0.48165941,0.1126301,6.6696444,1.5159978,5.9944849,1.3625353,11.855617,0.18883,0.121167,0.010178,0.031911,46.766067,0.726067,459.583073,159.170264
21346,62553.027,1581899953.91,2.6144144,-0.27147271,149.794911,-15.554241,0.39473556,798.68129,10.666724,1.4010228,0.98170626,-0.030416304,0.1614371,10.666724,1.4010228,9.1840734,1.2062838,11.923531,0.17352,0.378743,0.089352,0.078048,20.481804,0.923098,613.69405,163.162735
21357,63871.8494,1695846207.29,5.7177068,-0.37526127,327.600468,-21.500887,0.68489662,737.74882,5.8853879,1.3974838,0.77466655,-0.00043538626,0.1501545,5.8853879,1.3974838,5.1170413,1.2150401,11.926018,0.17304,0.163528,0.025472,0.040389,64.935906,0.774484,761.96582,222.036688
21364,61375.1202,1480128804.09,3.0194421,0.11333817,173.001289,6.493799,0.5725234,341.1625,4.9998884,1.0824796,0.12259804,-0.12746888,0.073018,4.9998884,1.0824796,4.6596501,1.0088178,12.024737,0.13294,0.025721,0.016489,0.002612,71.243196,0.840537,399.03594,101.563292
