simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
2717,63791.3174,1688888242.3,1.3969511,0.08092251,80.039402,4.636518,2.8911745,1376.2399,9.2091051,1.7414488,-0.47558849,-0.042802273,11.635258,0.22102,0.0,0.057628,0.0,47.781975,0.968809,1362.495219,452.100971
2718,63430.4185,1657706580.65,1.046569,-0.85048034,59.963987,-48.728934,2.6105104,903.08315,11.495406,1.6268718,-0.048062748,-0.02908937,11.766201,0.20418,0.0,0.116978,0.0,37.41769,0.862259,1309.003621,466.321963
2719,61141.5977,1459952457.34,2.1823976,-0.079308782,125.042172,-4.544058,1.6306751,201.35604,13.82046,1.3587799,-0.10721318,-0.021960649,11.942525,0.16802,0.0,0.223302,0.0,52.003571,0.059843,233.785903,23.543954
2720,62087.3643,1541666689.37,4.3553358,-0.65797843,249.54236,-37.699387,1.0221324,303.48564,6.4242984,1.4035376,0.16928479,0.0055809663,11.921561,0.17386,0.0,0.087492,0.0,57.852486,0.521548,457.257695,81.158295
2721,61134.4264,1459332855.65,1.0203967,-0.97230183,58.464424,-55.708791,1.1289707,840.2745,24.398534,1.545709,-0.11313855,-0.0031765318,11.833949,0.19289,0.0,0.311854,0.0,35.140708,0.42759,1806.459649,550.152407
2722,64088.1474,1714534357.39,5.1936008,0.13052863,297.571406,7.47874,0.866959,2229.2842,28.926465,1.8714765,0.90893277,0.026098091,11.417058,0.24206,0.0,0.267034,0.0,37.328456,0.647148,2305.249382,740.831664
2723,61043.3585,1451464594.08,3.4523528,0.81876467,197.805245,46.91176,2.5360393,656.05774,5.9136416,1.4035327,0.52397171,-0.029354727,11.921564,0.17386,0.028476,0.083675,0.0,43.926175,0.822187,808.366549,294.51457
2724,64284.5507,1731503602.23,2.4985743,-1.3989083,143.157762,-80.151542,0.26409994,1874.4489,7.9197145,1.7751356,0.79978897,0.0090834466,11.58725,0.22623,0.015498,0.05833,0.0,44.608859,0.965328,2534.795835,532.915495
2725,61381.4139,1480672576.23,3.6444895,0.65926691,208.813867,37.773212,2.2325059,2436.9593,19.356487,2.0453533,0.80335799,0.041086407,10.689992,0.28255,0.0,0.096085,0.0,16.980656,0.614467,2709.845784,863.96351
2727,63835.7909,1692730747.61,1.969082,0.29601501,112.820088,16.960411,2.6696689,1172.5859,8.6173108,1.651893,0.25805836,0.0083841535,11.742448,0.20774,0.0,0.078959,0.0,22.599117,0.890695,1286.559663,511.69116
2728,61192.1608,1464321110.83,3.6281018,-0.87876453,207.874921,-50.349499,2.3439478,540.84763,45.408371,1.5052321,-0.16317145,-0.037761015,11.86403,0.18736,0.0,0.60665,0.0,70.853618,0.698394,590.598523,164.235623
2729,62076.8027,1540754173.39,5.9318559,0.72680779,339.870308,41.643019,0.63872174,1200.4706,42.504452,1.565979,0.95847863,-0.042940118,11.819393,0.19566,0.0,0.600135,0.0,74.539474,0.802858,1229.878129,337.670976
2730,64393.0306,1740876262.09,2.5504348,-0.051897912,146.12915,-2.973531,1.0282759,526.09015,15.813563,1.31691,0.60249571,-0.0066515457,11.959426,0.16261,0.0,0.294578,0.0,57.345015,0.516296,793.830942,198.265788
2731,63974.811,1704742089.44,0.2922456,-0.59470086,16.744439,-34.073849,2.3681361,959.48709,14.467485,1.4255365,-0.19189421,-0.04212316,11.910582,0.17674,0.0,0.210785,0.0,32.474142,0.7155,897.477545,311.723126
2733,64044.3512,1710750362.49,4.6184821,0.13830908,264.619532,7.924527,2.8148529,1616.5261,20.252488,1.5134482,0.10800042,0.039333879,11.856988,0.18849,0.0,0.275403,0.0,72.320032,0.947094,1660.012169,616.038645
2734,61416.7313,1483724004.46,3.3797223,0.68655272,193.643824,39.336573,0.85287199,591.79413,7.0138365,1.3042624,-0.3277202,-0.011494289,11.964077,0.16099,0.0,0.109572,0.0,51.25876,0.657823,806.798725,215.865708
2735,61898.9297,1525385945.9,0.11738859,-0.9915491,6.725871,-56.811579,0.55882556,1144.1941,21.790617,1.6940132,-0.18553427,0.036678113,11.695005,0.2139,0.0,0.219188,0.0,26.4295,0.847878,1212.27293,324.071268
2736,63959.4595,1703415716.9,4.2270553,-0.091311104,242.192428,-5.231741,2.0843822,124.71108,7.2846445,1.415929,-0.024849571,-0.032587373,11.915984,0.17547,0.0,0.097568,0.0,59.249073,0.491304,187.587557,35.306648
2737,61021.1101,1449542328.68,3.0965794,-1.1957529,177.420931,-68.511595,2.2848964,2516.2497,38.242412,1.7499202,0.53289406,-0.017931395,11.623516,0.22232,0.0,0.401863,0.0,34.354193,0.654938,2388.782726,830.777286
2739,61685.6575,1506959225.18,6.2398825,-1.106721,357.518932,-63.410442,2.6274005,373.32786,7.585895,1.3972534,-0.079135752,0.04399778,11.926137,0.17301,0.0,0.105609,0.0,42.831105,0.87069,342.088062,58.674511
2740,62574.2462,1583733290.21,5.756697,-0.50446959,329.834442,-28.903978,0.30717814,968.17424,31.300084,1.5422358,0.60002619,0.040347779,11.836392,0.19241,0.0,0.435996,0.0,66.7618,0.953191,836.279797,157.173278
2741,61564.4871,1496490107.01,6.239143,-0.53150065,357.476562,-30.452744,0.64160432,969.75503,6.3027516,1.665062,-0.28305274,-0.0079245814,11.727383,0.20967,0.0,0.037614,0.0,73.607985,0.801137,1321.277097,497.366714
2742,62627.2466,1588312521.94,4.9193745,0.65592707,281.859397,37.581853,1.1083054,320.07182,15.19477,1.455253,-0.97747607,0.039445206,11.894133,0.18068,0.0,0.194168,0.0,35.561288,0.446179,425.340024,100.302484
2743,63118.6771,1630772121.08,2.9881938,0.023775813,171.210893,1.362254,0.89940338,817.40192,7.5119022,1.4399688,0.053469949,0.014859438,11.902896,0.17865,0.0,0.098191,0.0,21.553784,0.622077,1523.199165,474.569019
2744,62330.9213,1562710016.73,2.2418624,0.73709275,128.449254,42.232304,2.2016396,655.27375,6.0861923,1.3755222,0.62655083,-0.011027745,11.935438,0.17019,0.070193,0.093693,0.0,74.356271,0.589826,1208.238063,427.105192
2745,62615.7082,1587315609.63,4.4627148,0.75078705,255.694723,43.016929,2.2916597,876.02926,16.308339,1.5753529,-0.40158898,-0.0079149005,11.811198,0.19696,0.0,0.186124,0.0,18.722907,0.660034,1128.761382,395.024365
2746,62036.7989,1537297840.63,2.2218036,1.1770027,127.299969,67.437287,1.7845173,3513.2368,13.39628,2.0433839,0.91105723,0.031632009,10.71242,0.28168,0.0,0.055333,0.0,54.592178,0.212098,3126.084442,768.742106
2748,62105.4403,1543228457.96,3.3639983,0.42547424,192.742905,24.377878,1.0843912,1439.525,55.73575,1.7981281,0.97506379,0.0063187169,11.551599,0.22987,0.0,0.587912,0.0,42.70602,0.467451,2318.407811,706.46517
2749,63067.5478,1626354550.51,4.7817069,0.64698875,273.971624,37.069725,0.53645447,1811.9037,17.489298,1.8132753,-0.77491946,-0.032588162,11.525819,0.23232,0.0,0.120253,0.0,54.506191,0.859526,2070.948406,577.527776
2750,63680.1708,1679285177.39,1.4280042,1.3770529,81.818614,78.899319,1.1755831,1178.3421,36.35769,1.7350166,0.61733877,0.013152691,11.64382,0.22004,0.0,0.394576,0.0,29.584738,0.385005,1745.143623,577.224808
2751,61116.718,1457802854.45,0.97811714,1.0022276,56.041984,57.423412,0.99124928,647.90137,8.6868657,1.6263917,0.72747806,0.040699435,11.766655,0.20411,0.003486,0.094247,0.0,54.91198,0.547645,803.027181,165.718672
2752,63622.1976,1674276288.44,1.1873102,0.96393059,68.027863,55.229155,2.5751171,1410.0027,10.639853,1.6715511,-0.28141899,-0.0320277,11.720335,0.21061,0.0,0.09173,0.0,38.247929,0.843798,1260.4162,366.486185
2753,63571.9912,1669938454.43,4.5149696,0.72973184,258.688703,41.810555,0.56074042,1350.0391,8.4167899,1.8701357,-0.96913821,0.032446855,11.417508,0.24188,0.0,0.019403,0.0,24.664122,0.846862,1490.921851,450.839015
2754,62008.565,1534858430.89,3.1922729,-0.49116741,182.903764,-28.14182,0.70545622,1270.4641,6.6596095,1.4919156,0.51595672,-0.021779553,11.871777,0.18558,0.001227,0.082041,0.0,17.949931,0.761316,1732.44416,584.948936
2755,62826.6787,1605543460.75,4.839743,-0.78197659,277.296848,-44.803958,2.4066825,1400.7316,32.821334,1.9484223,-0.2505908,0.045810237,11.209919,0.25667,0.0,0.211917,0.0,16.186198,0.741891,2230.447877,849.906036
2756,63741.2439,1684561889.72,0.79884995,-0.1568506,45.770731,-8.986877,0.28181266,697.94956,8.8445594,1.73058,0.93811867,0.0019132174,11.650195,0.21936,0.164375,0.082847,0.015038,67.576812,0.960553,661.99053,126.789935
2757,63483.2753,1662273408.12,3.3918601,-0.61538762,194.339268,-35.259113,0.42304087,2547.7829,11.405536,1.9354185,0.38904674,0.031620202,11.251663,0.25401,0.0,0.055758,0.0,19.26181,0.911845,2237.013694,637.903415
2758,61796.0727,1516499099.73,4.0681176,0.55320355,233.085969,31.696229,2.2288743,287.98763,12.871989,1.48401,0.55975234,-0.032532016,11.877464,0.18451,0.0,0.187552,0.0,55.455191,0.611597,390.264644,51.180548
2759,63814.6773,1690906537.39,4.8405543,0.47414549,277.343332,27.166535,2.2182083,995.41181,10.296047,1.4364972,0.39216033,0.028030903,11.904309,0.1782,0.0,0.153026,0.0,39.440824,0.603124,2309.535899,559.649702
