simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
844,63889.4963,1697370894.54,4.1440716,-0.33546595,237.437813,-19.220783,1.8442885,268.20997,5.3384538,1.2196243,0.39267168,-0.031967406,0.0580071,5.3384538,1.2196243,5.0457637,1.1527562,11.99313,0.15017,0.046282,0.014643,0.010817,18.083391,0.270095,396.333451,116.298285
877,62877.6973,1609951463.6,1.2351592,-1.1325008,70.769409,-64.887516,2.8738631,756.18313,5.9131989,1.6389334,0.96765059,0.016820015,0.153582,5.9131989,1.6389334,5.1259457,1.4207342,11.753895,0.20591,0.353724,0.022312,0.124587,73.803245,0.964374,637.917878,139.873817
882,64264.2202,1729747041.54,2.0187502,-1.0783176,115.665866,-61.783047,0.47758858,2082.6866,9.8382272,1.7394906,0.95704566,0.0078736266,0.3759318,9.8382272,1.7394906,7.1502286,1.2642273,11.638355,0.22071,0.180874,0.006131,0.056524,44.571777,0.888106,1617.037904,516.054683
895,62069.3406,1540109443.53,5.0842556,-0.19613629,291.306388,-11.237782,1.3735564,429.05672,9.0902282,1.3806301,0.97297471,0.044578745,0.0907306,9.0902282,1.3806301,8.3340725,1.2657847,11.932673,0.17086,0.379359,0.082184,0.095333,41.883479,0.195964,1064.676447,357.641104
930,63484.6964,1662396189.28,0.86949995,-1.3272356,49.818677,-76.044998,1.4481848,785.7939,7.4295472,1.383203,0.93562914,0.03967572,0.1590619,7.4295472,1.383203,6.4099658,1.1933815,11.931198,0.1712,0.318098,0.059933,0.083986,26.615453,0.122305,1341.236449,496.324921
967,64137.0323,1718758011.98,4.73337,1.1514662,271.202124,65.974154,2.1706829,1009.3129,8.9912583,1.6562287,0.95341661,-0.01389533,0.1994718,8.9912583,1.6562287,7.4960146,1.3807983,11.736771,0.20839,0.227155,0.020675,0.067082,69.40423,0.564549,1209.579333,465.690753
996,62031.6003,1536848686.21,4.7064599,0.18233549,269.660289,10.447054,0.96234999,320.17353,7.5358533,1.4325769,0.92296417,-0.00054228277,0.0687291,7.5358533,1.4325769,7.0512289,1.3404491,11.907589,0.17766,0.276763,0.04792,0.074664,36.085452,0.571593,387.070249,93.491762
997,62680.6773,1592928934.62,5.7248674,0.068417465,328.01074,3.920032,2.4977144,1230.2847,9.5099876,1.5721571,0.97149392,-0.04620478,0.2379455,9.5099876,1.5721571,7.6820728,1.2699728,11.813993,0.19652,0.303049,0.044796,0.08313,57.818531,0.799774,1185.302993,296.353063
1017,64289.9926,1731973780.43,4.9870554,0.37350348,285.737227,21.400173,2.225737,521.13555,8.4041551,1.2905146,0.64018614,0.0011990693,0.1088846,8.4041551,1.2905146,7.5789267,1.1637952,11.969,0.15922,0.034913,0.003938,0.00994,24.70633,0.609112,656.475745,119.038167
1018,64378.2419,1739598518.01,3.451641,-0.45997711,197.764462,-26.354747,0.82583592,315.30876,10.735419,1.4031908,0.83242058,0.025210865,0.0677316,10.735419,1.4031908,10.0544172,1.3141793,11.921818,0.17381,0.073253,0.010134,0.020203,26.947018,0.677943,373.075898,51.001052
