simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1201,64033.4185,1709805773.12,2.032343,0.39544943,116.444676,22.657583,2.6633583,1315.3691,7.6497632,1.5615496,-0.97497659,0.040080505,0.2524146,7.6497632,1.5615496,6.108012,1.2468312,11.822166,0.19506,0.0,0.0,0.0,41.801223,0.887809,1398.184028,453.840519
1202,61365.3439,1479284134.83,4.6315541,1.127477,265.368503,64.599674,2.5804678,661.63518,11.927694,1.6598918,-0.98179313,-0.0050758992,0.1358674,11.927694,1.6598918,10.5009561,1.4613429,11.732711,0.20892,0.0,0.0,0.0,31.699661,0.846657,735.35262,220.880827
1203,63676.2506,1678946473.21,5.4592975,1.0106665,312.794706,57.906925,0.84861452,1003.6746,10.656863,1.7222582,-0.44772055,0.029928299,0.1984719,10.656863,1.7222582,8.8920421,1.4370451,11.665832,0.21801,0.0,0.0,0.0,40.734453,0.661023,1116.769067,314.621584
1204,61792.2429,1516168208.0,2.9842283,-0.56189207,170.983687,-32.194044,2.6116859,815.97975,6.6683442,1.4152214,0.29666981,0.018957653,0.1646162,6.6683442,1.4152214,5.7257869,1.2151826,11.91633,0.17538,0.0,0.0,0.0,60.711725,0.862854,738.552696,196.78974
1205,61559.7602,1496081702.68,5.8727149,-0.75131183,336.481778,-43.046997,0.23292457,504.85953,7.2023094,1.5516437,0.65040265,0.035556979,0.1057041,7.2023094,1.5516437,6.5137767,1.4033083,11.83063,0.19368,0.012478,0.0,0.004183,41.875219,0.972995,462.340649,86.235747
1207,62349.2341,1564292241.2,4.5086607,-0.98404967,258.327229,-56.381893,2.4029844,660.76294,5.7285264,1.660376,0.94816728,-0.02810371,0.1357024,5.7285264,1.660376,5.0440383,1.4619816,11.732153,0.20899,0.301528,0.014286,0.11083,30.349993,0.739406,767.196014,180.255671
1208,63047.7727,1624645979.55,4.0632256,-0.5492402,232.805678,-31.469145,0.36067599,2210.7876,9.4317531,1.876164,-0.41735863,-0.0063318472,0.3955365,9.4317531,1.876164,6.7585143,1.3444034,11.402783,0.24297,0.0,0.0,0.0,49.601941,0.935658,1387.45338,483.773461
1209,64089.4777,1714649291.71,2.3495901,-0.095682664,134.621596,-5.482213,2.822262,1851.1292,26.38799,1.881344,0.41800991,-0.022084499,0.3398273,26.38799,1.881344,19.6950677,1.404169,11.390562,0.24391,0.0,0.0,0.0,16.338375,0.949446,1705.155926,555.216738
1210,61308.1908,1474346100.26,3.1407687,-0.23513257,179.952791,-13.472104,0.8902527,1454.2128,15.564548,1.6288865,-0.9039055,-0.005603553,0.2756522,15.564548,1.6288865,12.201247,1.2769048,11.764098,0.20447,0.0,0.0,0.0,50.812801,0.629216,1766.871158,546.607909
1211,61126.5157,1458649371.63,4.7126698,-0.13825776,270.01609,-7.921586,2.3541,1550.7091,9.1715056,1.5161221,0.24809381,0.028918399,0.2915473,9.1715056,1.5161221,7.1011769,1.1738805,11.855558,0.18885,0.0,0.0,0.0,44.484333,0.705624,2080.583767,571.747655
1212,62777.0684,1601257125.51,2.6422832,-0.68682532,151.391676,-39.352192,1.2239949,820.53488,7.9676321,1.6594769,0.61555541,0.014253742,0.1654516,7.9676321,1.6594769,6.8365191,1.4238917,11.733171,0.20886,0.0,0.0,0.0,24.97044,0.339891,1352.782998,398.589881
1213,63335.2245,1649481814.53,5.0791721,0.21137314,291.015125,12.110789,1.0018004,1088.0429,7.2445825,1.8319472,0.68333682,-0.022945196,0.2133358,7.2445825,1.8319472,5.9707975,1.5098435,11.492528,0.2354,0.0,0.0,0.0,22.669374,0.538786,1142.768279,379.728677
1214,63118.9073,1630792007.5,6.2408396,-0.64129781,357.57377,-36.743658,2.5541369,2099.9855,12.122195,1.9103908,0.28200734,0.048775808,0.378594,12.122195,1.9103908,8.7931582,1.385753,11.320097,0.24921,0.0,0.0,0.0,62.360211,0.832354,1947.508921,640.594059
1215,64285.453,1731581554.32,5.7063703,-0.14399159,326.950935,-8.25011,2.0553833,375.51692,21.005815,1.6216191,0.5190387,0.044394138,0.0799879,21.005815,1.6216191,19.4500463,1.501516,11.770385,0.20345,0.0,0.0,0.0,21.895294,0.465843,581.943275,121.818135
