head,dim,component,omega_scaled,period_scaled,period_days,dim_name
1,22,periodic,23.543458938598633,0.2668760418891907,26.687604188919067,dim_022
1,23,periodic,31.911401748657227,0.19689469039440155,19.689469039440155,dim_023
1,24,periodic,37.24993133544922,0.1686764359474182,16.86764359474182,dim_024
1,25,periodic,30.325305938720703,0.2071928083896637,20.71928083896637,dim_025
1,26,periodic,29.009279251098633,0.21659226715564728,21.659226715564728,dim_026
1,27,periodic,34.94514083862305,0.17980140447616577,17.980140447616577,dim_027
1,28,periodic,40.77374267578125,0.15409882366657257,15.409882366657257,dim_028
1,29,periodic,47.10608673095703,0.13338372111320496,13.338372111320496,dim_029
1,30,periodic,36.05243682861328,0.1742790788412094,17.42790788412094,dim_030
1,31,periodic,54.53661346435547,0.1152104064822197,11.52104064822197,dim_031
1,32,periodic,46.66482162475586,0.134645015001297,13.4645015001297,dim_032
1,33,periodic,59.022457122802734,0.10645414888858795,10.645414888858795,dim_033
1,34,periodic,56.142337799072266,0.11191528290510178,11.191528290510178,dim_034
1,35,periodic,61.30467987060547,0.10249112546443939,10.24911254644394,dim_035
1,36,periodic,72.53713989257812,0.0866202563047409,8.66202563047409,dim_036
1,37,periodic,67.90950012207031,0.09252292662858963,9.252292662858963,dim_037
1,38,periodic,91.74524688720703,0.06848513334989548,6.848513334989548,dim_038
1,39,periodic,79.9970703125,0.07854269444942474,7.854269444942474,dim_039
1,40,periodic,92.56151580810547,0.06788118928670883,6.788118928670883,dim_040
1,41,periodic,82.2255630493164,0.07641401886940002,7.641401886940002,dim_041
1,42,periodic,108.21310424804688,0.0580630749464035,5.80630749464035,dim_042
1,43,periodic,116.86470031738281,0.05376461520791054,5.376461520791054,dim_043
1,44,periodic,127.9693603515625,0.049099139869213104,4.90991398692131,dim_044
1,45,periodic,142.98272705078125,0.04394366964697838,4.394366964697838,dim_045
1,46,periodic,156.0441436767578,0.040265437215566635,4.0265437215566635,dim_046
1,47,periodic,161.90957641601562,0.03880675509572029,3.880675509572029,dim_047
1,48,periodic,174.50608825683594,0.03600553795695305,3.600553795695305,dim_048
1,49,periodic,186.897216796875,0.03361840173602104,3.361840173602104,dim_049
1,50,periodic,207.7194366455078,0.030248424038290977,3.0248424038290977,dim_050
1,51,periodic,217.6185760498047,0.028872467577457428,2.887246757745743,dim_051
1,52,periodic,268.1373596191406,0.023432711139321327,2.3432711139321327,dim_052
1,53,periodic,258.75262451171875,0.02428259700536728,2.428259700536728,dim_053
1,54,periodic,251.39186096191406,0.024993591010570526,2.4993591010570526,dim_054
1,55,periodic,291.0106506347656,0.021590912714600563,2.1590912714600563,dim_055
