simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
111	5.5035165	1.0548273	0.7051484	954.03689	12.518935	1.2043507	0.76009103	-0.40911932
112	0.86611071	-0.35270464	0.45857944	688.54551	7.9683193	1.3773008	0.94403613	0.26258412
113	2.4835995	0.26503629	2.7342694	977.73176	8.8457335	1.5917722	0.62379885	0.25691075
114	0.21091041	-0.048761321	0.219591	883.84658	12.213348	2.0261056	0.97400888	-0.39800919
115	0.40437185	0.89718585	0.40707319	719.83376	7.1520864	1.1871209	0.5365874	-0.091810487
116	5.3081876	0.61475682	0.21174054	242.23508	9.3496722	1.6293825	0.8953412	-0.11739764
117	2.8111111	1.132753	2.3370204	827.8717	3.6143568	1.4007599	0.38595358	-0.24119494
118	3.3908995	0.45202465	0.39235466	226.30088	3.8963144	1.5759902	0.96089702	0.4041897
119	2.1000159	1.0599546	2.3720867	462.88231	6.9182973	1.2874268	0.66897751	0.055450162
120	3.7842115	0.42462297	2.424555	511.09551	14.765605	1.3975055	0.95171213	-0.28817514
121	2.3778427	1.3305408	0.35464914	774.91547	6.9316452	1.3516604	0.91680914	0.25784493
122	0.85280932	-0.46812288	0.95122795	327.14776	3.1477961	1.3000372	0.69383785	0.15091881
123	2.5906776	-0.85042192	2.4210799	127.35289	19.157034	1.4585154	0.9494516	0.1253816
124	0.49568826	-0.96244658	0.70373678	795.36982	5.0331999	1.2432626	0.42666957	-0.25972991
125	3.6632965	-0.67706612	0.079914416	733.74438	6.8321843	1.1779503	0.53469235	-0.045561118
126	0.69067934	0.80497321	2.7981124	807.60051	15.079238	1.7189979	0.90967507	0.29987594
127	2.9332895	0.14706075	0.87173459	152.21052	10.179069	1.3418792	0.91285552	0.12995926
128	1.2049506	0.51747181	2.6874309	701.76162	18.755748	1.3323758	0.91821055	0.15364138
129	3.6487528	-0.56305607	0.76693937	271.07893	7.8356596	1.2045951	0.51949979	0.48788488
130	5.0723115	0.56061796	2.4692937	670.49971	18.433378	1.1548438	0.82911902	0.18226033
131	4.874364	-0.15627295	1.9760951	659.25451	21.763692	1.2753951	0.94893563	-0.18796118
132	1.2666315	0.73535791	2.1579068	916.71469	11.694397	1.4206105	0.74070969	0.1589805
133	0.44781441	0.44380846	1.1212816	700.01522	7.1593403	1.7948129	0.86299924	0.10606813
134	0.90401707	-1.14646	0.3862336	858.71537	6.0793706	1.1827349	0.6471375	0.4114868
135	1.0789412	-0.29040769	1.4540177	522.09082	17.217777	1.6097096	0.97821357	-0.25951039
136	3.1789864	0.24895674	0.30074557	905.48975	8.6136448	1.7236981	0.93738933	0.11510839
137	0.49898953	0.42985365	0.71681464	646.03873	3.1052107	1.1892012	0.35088088	0.49028651
138	2.9332781	-0.13298537	1.9282637	334.90644	9.8931897	1.1990998	0.849989	-0.16464744
139	0.59281178	-0.89170568	1.7594906	593.77254	5.9173172	1.5656526	0.86759027	-0.28017993
