simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2_source,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1217.0,63532.5496,1666530706.34,0.79595849,-1.2232448,45.605062,-70.086764,0.49472663,283.82687,12.372447,1.3661348,0.84944101,0.37153015,0.0612453,12.372447,1.3661348,11.6584238,1.2872941,11.970134,0.15881,0.102413,0.032248,0.017826,30.0,0.880099,1105.367991,358.392731
1218.0,64291.9495,1732142857.32,0.63257192,0.014147989,36.243701,0.81062,2.4039168,429.84826,4.4334373,1.3077167,0.21281299,0.011062224,0.0908884,4.4334373,1.3077167,4.0640613,1.198763,11.997794,0.14755,0.046248,0.01398,0.009989,30.0,0.740034,642.809707,228.133115
1219.0,62974.8677,1618346988.55,4.1288619,0.77162678,236.566361,44.210958,2.155352,533.06538,5.0878371,1.7936244,0.88450802,0.48722141,0.1112083,5.0878371,1.7936244,4.5786527,1.6141207,11.777911,0.20238,0.246009,0.00686,0.081579,30.0,0.551829,1126.685277,393.240883
1220.0,63020.7377,1622310154.2,4.9413693,-1.2435903,283.119606,-71.252476,1.4168942,441.6119,18.603241,1.2503172,0.93358112,0.087135847,0.0932294,18.603241,1.2503172,17.0167768,1.1436915,12.011368,0.14061,0.165006,0.081981,0.021091,30.0,0.153295,774.455713,172.582846
1221.0,64024.245,1709013183.57,1.4456914,0.51138659,82.832016,29.300293,2.5149754,750.84546,13.387146,1.3704096,0.7696524,-0.36001,0.1525909,13.387146,1.3704096,11.6148292,1.1889818,11.999662,0.14632,0.058032,0.018849,0.009954,30.0,0.810016,676.365204,191.89538
1222.0,62561.5075,1582632669.55,3.0218494,-1.1185429,173.139217,-64.087787,0.50616922,810.1251,14.082334,1.2323928,0.69319338,-0.2983293,0.1635414,14.082334,1.2323928,12.1029933,1.059174,12.029462,0.13002,0.033436,0.008012,0.006458,30.0,0.874608,576.77076,161.259117
1223.0,62834.8465,1606249152.64,2.7325738,1.3454336,156.564946,77.087667,0.36019918,666.33157,18.298562,1.6562528,0.96843869,0.12168656,0.1367554,18.298562,1.6562528,16.0971848,1.4570001,11.892941,0.18091,0.180559,0.046063,0.034167,30.0,0.935827,1279.439941,428.448022
1224.0,62969.5156,1617884566.86,5.8818396,-0.049370364,337.004585,-2.828713,2.4351007,420.83345,9.6337237,1.4960897,0.76693678,0.42208629,0.0890899,9.6337237,1.4960897,8.8456646,1.3737064,11.936243,0.16995,0.074274,0.013416,0.015514,30.0,0.760644,531.035689,147.520566
1225.0,62029.4608,1536663831.13,0.046332627,-0.30085116,2.654664,-17.237502,0.13013136,362.45663,15.945064,1.5306746,0.9338456,-0.17761862,0.0773454,15.945064,1.5306746,14.8003264,1.4207835,11.912936,0.17612,0.11946,0.025893,0.023769,30.0,0.991545,688.790754,204.961549
1226.0,63168.5053,1635077275.11,2.9144361,0.21883776,166.984888,12.53848,2.7266727,972.34415,5.1147978,1.7860502,0.97462284,0.34658941,0.1928984,5.1147978,1.7860502,4.2877061,1.4972358,11.868114,0.1863,0.444034,0.029628,0.140716,30.0,0.915149,734.800855,266.914754
1227.0,62858.3786,1608282327.24,2.3900291,0.84932424,136.93858,48.662694,0.99177978,814.72602,14.72635,1.2612631,0.73574959,-0.080058219,0.1643861,14.72635,1.2612631,12.6473078,1.0832,12.024628,0.13303,0.040679,0.011383,0.007442,30.0,0.547201,691.852382,194.921538
1228.0,63197.0383,1637542527.83,3.9743305,0.52741752,227.712364,30.218798,0.16306196,430.73293,3.9722534,1.143962,0.17785209,0.19539822,0.0910647,3.9722534,1.143962,3.640713,1.0484823,12.031084,0.12869,0.090926,0.033535,0.017519,30.0,0.986735,739.329147,220.006354
1229.0,61794.4517,1516359041.01,0.11885658,-0.68276872,6.80998,-39.119766,0.8957362,439.61477,4.2533834,1.5470161,0.6725943,-0.02393562,0.0928324,4.2533834,1.5470161,3.8920728,1.4156023,11.916147,0.17543,0.157995,0.012183,0.050462,30.0,0.624944,578.965565,166.543762
1230.0,64320.88,1734642449.21,3.4840923,-0.72409509,199.623784,-41.487593,2.9873806,830.98536,11.58356,1.3922056,0.90947363,-0.3969751,0.1673655,11.58356,1.3922056,9.9228221,1.1926047,11.998935,0.14678,0.261702,0.09275,0.042929,30.0,0.988133,903.007224,250.168504
1231.0,63080.0754,1627436929.33,6.2243691,0.068403738,356.63008,3.919245,0.50888823,579.9701,18.294853,1.3551079,0.92745783,0.34885299,0.1202845,18.294853,1.3551079,16.330542,1.2096105,11.99399,0.14893,0.142909,0.060677,0.02089,30.0,0.873287,263.501082,69.346294
