simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
95	1.985721	-1.2475181	2.576093	5847.0217	2.3158548	2.5557546	-0.038936824	0.0012951375
96	2.3066977	1.0246288	2.1312238	119.18734	1.3316683	1.3736958	0.010849938	0.014218414
97	2.9724515	-0.042321864	2.4296594	917.57871	1.5601913	1.4931965	-0.0011609149	-0.046190226
98	5.8243892	-0.80310806	2.7219579	743.47197	1.370993	1.5439063	0.040046119	0.02662464
99	3.9170715	0.66409494	1.0771633	727.17171	1.5885027	1.5857211	-0.026226596	0.028351413
100	6.1548248	-0.99983766	2.1976991	1238.6163	1.7334024	1.6178751	0.04791918	0.011692157
101	5.5494821	0.96150342	2.4469084	384.77279	1.3100312	1.6156818	-0.048142319	-0.019804411
102	5.2918127	-0.57083059	1.7186163	277.28798	1.4030114	1.3179609	0.018416198	-0.0098309524
103	0.67546942	-0.012283228	0.84779266	396.76753	1.4082504	1.380553	0.011517295	0.042807672
104	2.509917	0.27129061	0.9989039	537.11139	1.4211448	1.2979054	-0.03024673	-0.02907991
105	5.0662051	1.1242633	2.1928357	348.61697	1.5172968	1.3607635	0.0051661749	-0.03289356
106	4.0935529	-0.34425057	0.49844268	1599.0753	1.8155541	1.5279904	0.027673877	-0.019716224
107	5.2381856	-0.13717783	2.4413243	729.05255	1.6745494	1.5497209	-0.0048819458	0.011417296
108	3.0538715	-0.38970452	0.98322088	8985.0958	2.6404412	3.036701	-0.047967197	0.037865729
109	3.5781198	-0.39162067	0.033205468	1408.3809	1.674213	1.7344293	-0.020485674	0.029212565
110	5.95525	0.24198483	0.41035964	1478.7081	1.6889981	1.7551418	0.021122535	-0.0012800748
111	2.4767271	-0.67572109	1.7971532	194.44873	1.2319104	1.3930288	-0.038594506	-0.047470122
112	0.068151991	1.2671598	2.3757738	1535.1502	1.8328673	1.726936	-0.046348439	0.0051541096
113	2.6119537	0.87002356	0.97325348	1265.1045	1.771084	1.7589925	-0.0085026022	-0.034540114
114	2.7444202	-1.4862271	2.9367676	489.32036	1.5595805	1.387386	0.039171214	-0.030359143
115	0.32968952	-0.79797473	2.276701	264.86588	1.3461596	1.4076632	0.046581494	0.040072701
116	5.1284243	0.2598158	1.9350621	293.43968	1.5495476	1.4752513	-0.0074501573	-0.039095332
117	3.1017807	-0.70862947	0.86431187	747.68049	1.7333567	1.5824739	-0.034153395	0.029333935
118	4.0843913	1.2658593	2.3158491	466.43981	1.3885033	1.3967875	0.02470729	0.014240338
119	2.5151402	0.84237622	0.33771869	804.38871	1.5483913	1.3664232	0.015779753	0.047209156
120	5.3682316	0.66546764	0.70076211	258.37448	1.2464301	1.5369391	-0.04284953	-0.01810165
121	5.2731852	0.71180215	1.2761184	439.66873	1.4312542	1.4083769	0.048661271	-0.015147209
122	2.0077762	-0.017791802	1.9503137	638.53446	1.4611265	1.4787018	-0.005167221	-0.041430616
123	0.70555018	0.27950434	2.7058516	477.58077	1.4111721	1.5501598	0.03337528	-0.013524043
124	3.8362108	0.08757742	1.4155443	302.91526	1.2527777	1.3296231	-0.047872208	-0.0150274
125	0.26452254	-0.37696982	1.9024783	292.50478	1.3632452	1.4393826	0.036123164	-0.0094382392
126	4.6411839	-0.3127962	1.0974869	305.31711	1.5186549	1.5348058	-0.022449623	-0.011764786
127	6.2452573	0.1998847	0.9725678	481.72632	1.503296	1.4344846	-0.030461261	0.040439399
128	1.2878182	0.63683744	2.2636943	1143.1201	1.7119268	1.5816321	0.0047808636	-0.024846143
129	2.3095923	-0.89997378	2.459659	532.97398	1.5962048	1.7122398	-0.047466458	-0.0072547072
130	3.8860093	-0.39857275	0.76079108	684.71885	1.6280744	1.5653499	0.0037695893	0.037907298
131	1.9103822	-0.4255028	0.65576879	771.82209	1.5057199	1.5977048	-0.0093066331	-0.0026881627
132	3.7665533	-0.50485578	1.7766403	836.40098	1.6363525	1.6551228	-0.040408168	-0.010137712
133	0.71953116	-0.69707687	0.80138823	576.89082	1.5437028	1.4292993	0.023576105	0.048316863
134	2.3441493	0.86401552	2.6701756	1793.9953	1.9269514	1.8654739	0.034889949	0.030353061
135	5.8789558	-0.36531957	2.8192632	558.35538	1.3543961	1.3921498	0.034513193	-0.023454675
136	1.0877956	-0.93325096	2.6635506	524.26663	1.5595167	1.5733746	0.048050949	0.0014885865
137	4.6260748	-0.74187415	1.361949	161.82237	1.3624306	1.4158643	0.024530155	0.0095919762
138	3.3005912	0.66161096	2.8972973	1173.3884	1.5622443	1.6099845	-0.015252314	0.031427659
139	0.27723363	0.85686919	0.79754999	553.4722	1.4897645	1.464541	-0.036089641	-0.035114268
140	3.8814029	-0.34580569	1.8368169	9713.9879	2.7899429	2.8820662	-0.001758421	0.028741009
141	4.1894615	-0.41654151	2.0136162	595.54942	1.5997892	1.4855624	-0.030143106	0.03354879
142	2.338996	-0.23861764	0.60829461	523.59314	1.6346208	1.3517046	-0.028561459	-0.010055573
143	0.56705449	0.53023299	0.93772536	684.92014	1.6160114	1.6314094	-0.046886646	0.049782802
144	6.0878719	0.4483674	1.8628483	149.86546	1.3032941	1.4420677	0.049467978	0.026476348
145	1.6716207	-0.81259341	1.4161733	226.98068	1.4188345	1.3706418	-0.041965826	-0.014908315
146	2.8172398	-0.64517575	2.1398185	313.18568	1.3274709	1.3499356	-0.043984064	0.039491263
147	6.1311255	-0.19166658	2.7624161	1440.1858	1.6027707	1.6795483	-0.03401796	0.036058396
148	0.53601931	0.45523148	0.74091476	1446.1967	1.5165067	1.7191948	-0.015127416	-0.016445044
149	4.9620497	1.363331	0.83113	1418.9646	1.7283097	1.4317929	-0.033418519	-0.0020406231
150	6.088916	-0.70731775	2.6277945	1112.7739	1.5835659	1.6815974	0.02528071	0.044055783
151	2.4461809	0.33269485	0.55790909	2107.7768	1.9420764	1.9625813	0.03058622	0.0094335421
152	2.1289086	0.7046711	2.554734	764.71427	1.4268912	1.7508677	0.024861412	0.031237156
153	0.31444664	-0.76507391	1.6948255	261.54838	1.2847356	1.3349625	-0.0036038438	-0.029046873
154	4.7741119	-0.022494061	1.1141118	456.73735	1.501248	1.1862877	0.013991686	-0.038459454
155	1.2191877	-0.14589199	0.61579192	407.00399	1.5091316	1.4516193	0.0019137002	0.048109641
