simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1,radius2,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
42,62329.1303,1562555278.53,2.9056879,1.2707842,166.483653,72.810571,1.9704058,337.09581,1.4906204,1.4322381,-0.033793128,-0.020949654,0.0721888,1.4906204,1.4322381,1.3902592,1.3358077,11.872738,11.90787,0.1854,0.17762,0.002928,0.06448,0.067408,30.134461,0.389059,620.95339,264.967351
43,63805.0602,1690075620.73,2.6486352,-0.50389484,151.755618,-28.871048,2.064026,416.65484,1.5674752,1.4355621,0.026236278,0.009010291,0.0882549,1.5674752,1.4355621,1.4403567,1.3191415,11.818224,11.905,0.19586,0.17807,0.003313,0.061481,0.064795,60.302516,0.473473,777.788139,287.277835
44,62372.3275,1566287515.66,5.9949238,0.021170318,343.483832,1.21297,0.43965655,891.9953,1.5727542,1.4065805,0.012991131,0.03533588,0.1784651,1.5727542,1.4065805,1.3345785,1.1935699,11.813435,11.919744,0.1966,0.17426,0.003376,0.055287,0.058663,42.63237,0.904898,963.00548,358.617898
47,63627.6938,1674751159.92,2.9711651,-0.85420156,170.23522,-48.942144,0.47246759,531.54896,1.58906,1.4838157,-0.04208859,0.015365125,0.1109133,1.58906,1.4838157,1.4304086,1.3356719,11.799853,11.877606,0.19887,0.18448,0.003441,0.027167,0.030608,65.519913,0.890448,515.547466,172.749053
48,61439.202,1485665474.15,4.4746258,1.3703616,256.377173,78.515936,0.75069522,937.85533,1.7469506,1.3947993,-0.018378295,0.033739516,0.1867281,1.7469506,1.3947993,1.4720732,1.1753318,11.628277,11.92705,0.22185,0.17269,0.005614,0.015048,0.020662,58.709441,0.731215,1148.314466,315.777093
49,63704.7,1681404495.31,0.78863491,-0.74576362,45.185452,-42.729108,3.0147455,758.01979,1.7205863,1.5016492,-0.042950856,0.011226705,0.1539229,1.7205863,1.5016492,1.4910757,1.3013428,11.672098,11.865834,0.21768,0.18688,0.004487,0.022269,0.026756,61.586847,0.991966,515.456983,173.851367
51,61829.2666,1519367055.45,3.3677992,0.77688945,192.96068,44.512487,0.28794958,547.09832,1.5533811,1.4795011,-0.018496163,0.03227527,0.1139337,1.5533811,1.4795011,1.3945005,1.328177,11.829024,11.880658,0.19392,0.1839,0.003252,0.035282,0.038534,54.36971,0.958828,545.177415,129.214615
54,63370.876,1652562100.48,3.443184,0.1814024,197.279911,10.393592,0.78492779,201.94454,1.4153555,1.3837323,-0.0021537248,0.00087503646,0.0441092,1.4153555,1.3837323,1.3555627,1.3252755,11.916267,11.930906,0.1754,0.17127,0.002603,0.023769,0.026372,25.645726,0.707439,231.567538,36.987892
55,62980.2354,1618810760.18,4.9244172,-0.7883589,282.148322,-45.169638,1.8345198,636.1651,1.5434741,1.4139571,0.0089874279,0.040147429,0.1310364,1.5434741,1.4139571,1.3646547,1.2501429,11.83537,11.916894,0.19258,0.17522,0.003177,0.040809,0.043986,47.701615,0.260677,1055.727718,345.335437
56,64252.0065,1728691780.48,1.83562,0.4586396,105.173279,26.278113,0.29204783,894.24051,1.5843487,1.4735875,0.039203469,0.045115449,0.1788712,1.5843487,1.4735875,1.343954,1.2499987,11.804152,11.883804,0.19821,0.18311,0.003411,0.016116,0.019526,74.080184,0.957656,617.668381,186.531788
57,62355.6288,1564844747.44,3.1449831,0.10284024,180.194258,5.892312,2.1496501,522.03287,1.5051083,1.3833671,-0.029882161,0.019506785,0.1090596,1.5051083,1.3833671,1.3571032,1.2473334,11.864106,11.931107,0.18734,0.17122,0.00297,0.063431,0.066401,71.243284,0.547065,769.401174,214.956104
58,61231.5782,1467726771.1,0.76001756,-0.43612031,43.545799,-24.987853,1.7467004,266.89504,1.5632357,1.3814974,-0.046354297,0.01998063,0.0577338,1.5632357,1.3814974,1.4779103,1.3060917,11.821213,11.93217,0.19528,0.17097,0.003347,0.029411,0.032759,17.590424,0.174998,478.832728,132.306796
59,61067.0442,1453511036.83,6.1431696,1.0029309,351.977691,57.463708,0.24455566,789.0404,1.6785186,1.3640102,0.0050549104,-0.0074199716,0.1596608,1.6785186,1.3640102,1.447422,1.1762148,11.712564,11.940033,0.21163,0.1687,0.004708,0.04478,0.049488,24.888889,0.970245,789.385798,260.871613
60,63894.005,1697760446.84,5.6752451,-0.83875026,325.167592,-48.05685,0.67784196,714.20334,1.5761582,1.5430881,-0.026196728,0.030599698,0.1457583,1.5761582,1.5430881,1.3756463,1.3467833,11.81061,11.835667,0.19707,0.19253,0.003459,0.02438,0.027839,22.903726,0.778928,913.325244,305.478193
61,62836.5747,1606398474.83,2.8555272,0.53618581,163.609657,30.721184,2.3653622,474.42982,1.5729724,1.5568618,0.042536236,0.027923441,0.0997255,1.5729724,1.5568618,1.4303319,1.4156822,11.813234,11.825271,0.19663,0.19442,0.003482,0.031137,0.034619,58.558795,0.71356,604.32042,204.505302
