coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	searched_prob_dist	searched_vol	searched_prob_vol	offset	runtime	distmean	diststd	log_bci	log_bsn	area(20)	area(50)	area(90)	dist(20)	dist(50)	dist(90)	vol(20)	vol(50)	vol(90)
709	709	0.0	18.95697337402675	11045.104370980807	0.6048697921088682	0.32125401499138656	2369196.622564058	0.10209210994324001	44.24249031689769	3.351579557987861	188.360263784509	59.6942747741807	-0.00033710257153529	106.3546202793615	2777.098143684375	8366.626145027862	24753.495680826807	32.06174692047051	84.34766285006737	195.28615294693518	4682639.480723775	12560190.522778036	31938922.987988126
710	710	0.0	8.414646381303077	243.1328778471012	0.3907565574726415	0.47265440839510847	18570378.689874087	0.3743121949365833	23.089161329339753	4.113517583988141	832.3021815207725	295.7829508146554	4.686868002366816	1.702775453243569	31.51045700076062	520.2645719828341	4187.422836675116	144.4473964995875	386.7461788330546	975.6609083884823	2520135.255231731	47768143.33011701	612229227.8464122
711	711	0.0	9.922864569697898	67.24840332253879	0.44451155180548796	0.141370266178768	3608556.3308189684	0.41325883538699015	7.418333303423911	4.12310053902911	738.8895485901612	213.2725081824709	9.596368067596584	12.02592831203117	18.10031896479353	89.19739670785412	541.7042478800562	107.74595108665699	286.9999413564218	701.5378415110407	948667.3407795642	5888226.817363715	47070663.66936234
712	712	0.0	8.448510273689058	167.17680295547743	0.5350829983609466	0.7053391045124516	21529492.6576877	0.541060124348931	3.920490134062659	3.810019130003639	975.3379221251976	314.6091305973523	8.282073850583696	3.039034792633391	38.35468483467404	145.28567481312334	1607.25112876038	154.27526915180465	412.7861497375835	1032.881781170041	3334573.9514471274	17304090.879328396	361480094.62693024
713	713	0.0	9.467771268717383	25.900077332689033	0.3060044788605009	0.4155346621469627	935714.653512735	0.21779452908125838	3.9068074757886166	4.573684384988155	788.429897154182	242.2589070310588	12.18754732306722	5.754381937234987	14.569054749285224	59.34605798733726	352.51252340884156	120.80298419875953	322.1257275261396	793.3982562045081	825333.6790725322	4362599.153160668	38782295.28329996
714	714	0.0	8.049584167570575	345.15951159308025	0.2488990658404543	0.049113935920912774	162916604.87882215	0.39612797779169995	11.459099808476864	3.623758829024155	1171.310503682767	359.1608450229572	4.087137351790988	-1.880506319046196	236.1957183008856	1693.1568365520175	19693.890388697193	185.8568513855446	493.51287918701337	1184.49878607143	35510540.465912685	353449230.48347425	5307701137.194784
715	715	0.0	8.310714845174585	177.9827086375712	0.56018140427259	0.3843471992349865	11157001.332151739	0.44569862590099496	12.84906379288244	4.78146441897843	887.9285181050257	305.0643571308226	8.446680205367716	0.9637505580995047	38.36534730775927	145.26247816127784	885.5660556490102	152.33706904806763	406.5409965054466	1002.3650809019316	3016220.7635092093	14012639.174967544	157439960.66211328
716	716	0.0	8.80139660723388	11.369806099970132	0.09003589398035663	0.8499808489828885	6130382.951471353	0.2630130780992327	13.380221407422678	4.081061734992545	1012.240080962113	295.4734990811801	6.537143868647409	6.037081783113113	30.332366018469468	165.5465482739788	1096.698253807927	149.78694704522763	398.9465267779216	974.7177980407258	3814727.859515101	25208316.25521691	211151876.5730568
717	717	0.0	8.489386331084258	5.422623785856671	0.3203699906364103	0.687537182038868	457033.47513103974	0.4225590207236303	1.5795408085417957	4.250475103966892	769.6649090766847	284.5718494631992	10.74954220864656	0.941863310943388	2.9521948561722735	11.080077797040472	138.48956705946318	121.70839752636266	329.27786441824264	928.4891665232112	134113.7634191297	661658.7560864916	19064498.816838976
718	718	0.0	10.40339126802782	159.99035111835633	0.7462901109448421	0.7113260826806171	6603179.889779604	0.7127779647660939	4.009364745906278	4.56674545299029	566.8336715729198	279.8391693185002	6.058444844600549	3.267959395276778	22.51646016105899	73.56781770250451	414.82393151550514	134.55596043556153	361.8481194205474	953.4816385755652	397715.7189054205	2178338.056567384	38031767.681727394
719	719	0.0	10.33015920317573	2.7080334021266776	0.06839751353178297	0.10905241797677363	6702.1387205190185	0.03833814843188368	0.5667953755857735	3.965661165013444	398.4407308897331	172.5504755631585	5.435329939101081	9.374891875566348	9.29417649964682	31.43120481596391	158.5110419059538	88.07535247216185	233.98960432462218	564.2060558297976	76321.05722228884	407832.5548952581	4310160.439415371
720	720	0.0	10.54521925390176	239.30360059081121	0.24279208719877354	0.4892792017942236	3729653.2122250185	0.1773334385402911	2.613373661558795	4.410990767995827	546.527043274458	173.8781098423501	4.009370181986249	14.50651428351619	176.33040890481897	851.2105283925936	4665.114225998931	87.6417003184086	233.53185207108976	572.6118020544232	4582175.6897483505	27065590.207901467	185344935.432539
721	721	0.0	10.13864314260272	69.38597932518455	0.4937838162879941	0.03580697567412622	1107269.028078687	0.4873880394643717	2.145923033075157	6.119859933969565	457.7138346907337	132.6901271479855	6.074988323290695	11.51874475154833	17.746165170401227	70.96370465594842	619.0022253824504	63.970385289262936	171.19803010836654	436.0424128263817	238428.66076390664	1170442.876325936	16477146.844410893
722	722	0.0	9.455305955964858	7.422503174836214	0.29154905336044457	0.042011028937353	313159.84107535006	0.36333818460963907	1.481119484813304	4.158820856013335	570.8529833708977	169.9085810327068	5.56648069746787	7.19630970841392	4.475519199682563	17.407781318533168	163.84703781367278	84.64551670883122	225.8331751073519	559.0663128534748	123120.65690476797	593692.6572738346	7723337.578983072
723	723	0.0	10.4783793882744	1.442535952706696	0.015410168490121796	0.5893194323732236	338982.8315722646	0.140128549244487	0.9364506508584765	4.550056687032338	576.661741728605	170.9152067748844	14.19348132337237	12.7769569542444	21.66248510198761	66.93387683913244	192.33864933251596	86.5765421063004	230.46240240656186	561.4361700917996	530153.7132175211	1990804.4457998232	9028993.803037928
724	724	0.0	11.09008541395377	87.12917154348396	0.5840722778806202	0.33296781190294944	2164646.5743908845	0.48024822764085817	46.49657630242097	4.604646214982495	664.2156028083514	187.594863347842	11.1560160754314	14.17757421586959	5.1629126392111715	46.436058376657044	374.94304097920883	94.49125648232052	251.8235593824212	617.6600672140446	219330.55861449087	2505427.32988475	22226979.61634108
725	725	0.0	9.296205273004661	9.258458023735722	0.07963672925522201	0.4992028566921596	662373.2725620973	0.0744162799357745	19.31470752295831	4.721103629039135	888.7423519755507	287.0755131523746	9.389855543322778	3.708705390722571	28.70222816938159	123.24489365551264	963.5132299015455	146.18017906663022	388.9735235666021	944.6779405447726	2487921.8576246323	14371797.273234934	149993108.08349425
726	726	0.0	8.440513838644508	24346.230060285165	0.9745483752521101	0.30713278488277473	6211093537.865558	0.9767265514244245	59.06759886573771	4.771584656031337	929.9586609991252	327.1824942673604	5.767437144065576	-0.653486550080454	132.51974996445398	473.4611647124629	8645.082274179233	171.2015566210565	454.27801744548333	1083.552225329513	10162196.861026218	46488359.659357585	1828118147.826721
727	727	0.0	8.382184903377626	2494.380713567257	0.8156910508253443	0.6817877243422423	575507137.6374667	0.780059989358315	54.75682373976392	4.575579794996884	1242.145409851642	394.1219184373313	9.009318929248224	-0.6390201166100812	75.66221283551602	419.35315314351374	5551.899216087403	208.00646073486314	550.0283411965786	1296.9012111631712	13349860.45973618	95335955.76581345	1936103520.3899229
